source,destination,distance
65224,64746,5
65224,64878,2
65224,64925,4
65224,65405,6
65224,65483,10
65224,65806,7
65224,65863,3
65260,64245,9
65260,64693,10
65260,64844,8
65260,64970,7
65260,65465,7
65260,65629,1
65260,65806,3
65386,64461,2
65386,64844,9
65386,64876,7
65386,64970,4
65386,65110,1
65392,64128,6
65392,64185,9
65392,64324,10
65392,64708,6
65392,64858,7
65392,64876,6
65392,64878,10
65392,64970,1
65392,65405,3
65392,65465,1
65392,65778,5
65392,65863,8
65404,64128,6
65404,64245,7
65404,64281,5
65404,64324,8
65404,64708,6
65404,64844,4
65404,64858,9
65404,64925,2
65404,64995,6
65404,65173,2
65404,65465,10
65404,65483,3
65404,65778,2
65404,65853,7
65405,64302,5
65405,64324,9
65405,64461,2
65405,64528,5
65405,64708,4
65405,64858,9
65405,64876,10
65405,65037,1
65405,65110,5
65405,65224,6
65405,65392,3
65405,65727,6
65405,65863,4
65465,64185,6
65465,64281,4
65465,64302,3
65465,64324,1
65465,64528,9
65465,64702,6
65465,64858,2
65465,64995,3
65465,65141,8
65465,65260,7
65465,65392,1
65465,65404,10
65465,65778,6
65483,64160,7
65483,64185,2
65483,64858,1
65483,65112,6
65483,65176,7
65483,65188,2
65483,65224,10
65483,65404,3
65483,65731,4
65483,65778,8
65483,65863,4
65629,64185,3
65629,64324,4
65629,64461,7
65629,64541,6
65629,64834,3
65629,64878,3
65629,64995,10
65629,65097,3
65629,65112,4
65629,65141,8
65629,65260,1
65629,65853,2
65702,64160,2
65702,64281,1
65702,64302,8
65702,64541,10
65702,64702,4
65702,64746,7
65702,64844,8
65702,64858,3
65702,65173,4
65702,65202,5
65702,65778,8
65702,65853,8
65714,64461,1
65714,64541,5
65714,64834,8
65714,64878,8
65714,65097,7
65714,65176,8
65714,65778,7
65727,64128,1
65727,64160,8
65727,64302,10
65727,64461,9
65727,64528,3
65727,64541,9
65727,64702,2
65727,64834,1
65727,64858,4
65727,64876,5
65727,64970,1
65727,64995,1
65727,65028,3
65727,65405,6
65727,65778,1
65731,64702,3
65731,65037,7
65731,65483,4
65731,65806,8
65778,64185,5
65778,64281,5
65778,64541,9
65778,64693,8
65778,64702,2
65778,64746,7
65778,64844,1
65778,64925,1
65778,65097,3
65778,65392,5
65778,65404,2
65778,65465,6
65778,65483,8
65778,65702,8
65778,65714,7
65778,65727,1
65806,64302,3
65806,64461,2
65806,64541,8
65806,64746,9
65806,64995,7
65806,65028,4
65806,65037,4
65806,65112,7
65806,65173,6
65806,65202,4
65806,65224,7
65806,65260,3
65806,65731,8
65853,64185,10
65853,64245,1
65853,64465,4
65853,64528,1
65853,64693,10
65853,64746,10
65853,64834,4
65853,64844,8
65853,65028,9
65853,65141,7
65853,65188,7
65853,65404,7
65853,65629,2
65853,65702,8
65863,64128,9
65863,64302,8
65863,65097,2
65863,65112,4
65863,65173,1
65863,65202,8
65863,65224,3
65863,65392,8
65863,65405,4
65863,65483,4
